rank,previousRank,athlete,school,grade,division,gender,season,event,timeOrMark,rankingExplanation,updatedDate,slug,title,subtitle,sport
1,,Brice Fuller,Fairless,Junior,Division 3,Boys,2026,Cross Country,14:49.06 5K,"Brice Fuller opens at No. 1 with 14:49.06 in the 5K, 8:56.36 in the 3200, 4:12.69 in the 1600.",2026-07-29,2026-division-3-boys-cross-country-top-25,2026 Division 3 Boys Cross Country Top 25,Top 25 returning boys,Cross Country
2,,Nathaniel Gockerman,Cincinnati CHCA,Senior,Division 3,Boys,2026,Cross Country,14:53.10 5K,Nathaniel Gockerman is ranked No. 2 with a 14:53.10 5K and a 9:04.50 3200.,2026-07-29,2026-division-3-boys-cross-country-top-25,2026 Division 3 Boys Cross Country Top 25,Top 25 returning boys,Cross Country
3,,Joel Smelcer,Perkins,Senior,Division 3,Boys,2026,Cross Country,15:13.35 5K,"Joel Smelcer enters at No. 3 after a 15:13.35 5K, a 9:15.08 3200, and a 4:19.28 1600.",2026-07-29,2026-division-3-boys-cross-country-top-25,2026 Division 3 Boys Cross Country Top 25,Top 25 returning boys,Cross Country
4,,Connor Bendo,Union Local,Senior,Division 3,Boys,2026,Cross Country,15:34.25 5K,"Connor Bendo enters at No. 4 after a 15:34.25 5K, a 9:08.79 3200, and a 4:18.34 1600.",2026-07-29,2026-division-3-boys-cross-country-top-25,2026 Division 3 Boys Cross Country Top 25,Top 25 returning boys,Cross Country
5,,Jackson Spitzer,Versailles,Senior,Division 3,Boys,2026,Cross Country,15:10.10 5K,"Jackson Spitzer enters at No. 5 after a 15:10.10 5K, a 9:16.92 3200, and a 4:26.21 1600.",2026-07-29,2026-division-3-boys-cross-country-top-25,2026 Division 3 Boys Cross Country Top 25,Top 25 returning boys,Cross Country
6,,Landen Perdue,Bellaire,Senior,Division 3,Boys,2026,Cross Country,15:44.93 5K,"Landen Perdue enters at No. 6 after a 15:44.93 5K, a 9:22.48 3200, and a 4:19.43 1600.",2026-07-29,2026-division-3-boys-cross-country-top-25,2026 Division 3 Boys Cross Country Top 25,Top 25 returning boys,Cross Country
7,,Cole Zang,Margaretta,Junior,Division 3,Boys,2026,Cross Country,16:00.12 5K,"Cole Zang enters at No. 7 after a 16:00.12 5K, a 9:13.64 3200, and a 4:16.22 1600.",2026-07-29,2026-division-3-boys-cross-country-top-25,2026 Division 3 Boys Cross Country Top 25,Top 25 returning boys,Cross Country
8,,Asher Cole,West Liberty Salem,Junior,Division 3,Boys,2026,Cross Country,15:31.50 5K,"Asher Cole enters at No. 8 after a 15:31.50 5K, a 9:25.58 3200, and a 4:20.34 1600.",2026-07-29,2026-division-3-boys-cross-country-top-25,2026 Division 3 Boys Cross Country Top 25,Top 25 returning boys,Cross Country
9,,Luca Novakovic,CF Northwest,Senior,Division 3,Boys,2026,Cross Country,15:41.80 5K,"Luca Novakovic enters at No. 9 after a 15:41.80 5K, a 9:26.16 3200, and a 4:21.39 1600.",2026-07-29,2026-division-3-boys-cross-country-top-25,2026 Division 3 Boys Cross Country Top 25,Top 25 returning boys,Cross Country
10,,Connor Runkle,Fairfield Union,Senior,Division 3,Boys,2026,Cross Country,15:27.46 5K,Connor Runkle is ranked No. 10 with a 15:27.46 5K and a 4:18.80 1600.,2026-07-29,2026-division-3-boys-cross-country-top-25,2026 Division 3 Boys Cross Country Top 25,Top 25 returning boys,Cross Country
