rank,previousRank,athlete,school,grade,division,gender,season,event,timeOrMark,rankingExplanation,updatedDate,slug,title,subtitle,sport
1,,Brice Fuller,Fairless,Junior,Division 3,Boys,2026,Cross Country,"14:49.06 5K, 8:56.36 3200, 4:12.69 1600",See the full story for the detailed ranking explanation.,2026-07-29,2026-top-25-returning-runners,2026 Division 3 Boys Top 25,Top 25 returning runners,Cross Country
2,,Nathaniel Gockerman,Cincinnati CHCA,Senior,Division 3,Boys,2026,Cross Country,"14:53.10 5K, 9:04.50 3200",,2026-07-29,2026-top-25-returning-runners,2026 Division 3 Boys Top 25,Top 25 returning runners,Cross Country
3,,Joel Smelcer,Perkins,Senior,Division 3,Boys,2026,Cross Country,"15:13.35 5K, 9:15.08 3200, 4:19.28 1600",,2026-07-29,2026-top-25-returning-runners,2026 Division 3 Boys Top 25,Top 25 returning runners,Cross Country
4,,Connor Bendo,Union Local,Senior,Division 3,Boys,2026,Cross Country,"15:34.25 5K, 9:08.79 3200, 4:18.34 1600",,2026-07-29,2026-top-25-returning-runners,2026 Division 3 Boys Top 25,Top 25 returning runners,Cross Country
5,,Jackson Spitzer,Versailles,Senior,Division 3,Boys,2026,Cross Country,"15:10.10 5K, 9:16.92 3200, 4:26.21 1600",,2026-07-29,2026-top-25-returning-runners,2026 Division 3 Boys Top 25,Top 25 returning runners,Cross Country
6,,Landen Perdue,Bellaire,Senior,Division 3,Boys,2026,Cross Country,"15:44.93 5K, 9:22.48 3200, 4:19.43 1600",,2026-07-29,2026-top-25-returning-runners,2026 Division 3 Boys Top 25,Top 25 returning runners,Cross Country
7,,Cole Zang,Margaretta,Junior,Division 3,Boys,2026,Cross Country,"16:00.12 5K, 9:13.64 3200, 4:16.22 1600",,2026-07-29,2026-top-25-returning-runners,2026 Division 3 Boys Top 25,Top 25 returning runners,Cross Country
8,,Asher Cole,West Liberty Salem,Junior,Division 3,Boys,2026,Cross Country,"15:31.50 5K, 9:25.58 3200, 4:20.34 1600",,2026-07-29,2026-top-25-returning-runners,2026 Division 3 Boys Top 25,Top 25 returning runners,Cross Country
9,,Luca Novakovic,CF Northwest,Senior,Division 3,Boys,2026,Cross Country,"15:41.80 5K, 9:26.16 3200, 4:21.39 1600",,2026-07-29,2026-top-25-returning-runners,2026 Division 3 Boys Top 25,Top 25 returning runners,Cross Country
10,,Connor Runkle,Fairfield Union,Senior,Division 3,Boys,2026,Cross Country,"15:27.46 5K, 4:18.80 1600",,2026-07-29,2026-top-25-returning-runners,2026 Division 3 Boys Top 25,Top 25 returning runners,Cross Country
